[2023-01-25T11:23:58.457] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:23:59.761] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:24:00.801] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:24:03.486] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/1674251376272-Hermione.webp, Metodo GET
[2023-01-25T11:24:03.645] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:24:06.351] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:24:07.867] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:24:09.175] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:26:06.429] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:26:11.959] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:26:21.942] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:26:27.267] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:26:32.851] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T11:26:33.019] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:48:22.912] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:48:25.627] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:48:27.994] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:48:37.681] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:48:41.276] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T11:48:41.469] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:57:57.852] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T11:57:58.066] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:58:44.861] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:58:46.354] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:58:52.746] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:58:54.386] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:59:06.134] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:59:12.231] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T11:59:13.534] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T11:59:13.713] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:04:36.060] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
